paragraph_id,feature,value,human_mean,human_std,z_score,ai_mean
pride_and_prejudice_TReput_P20,sentence_length_cv,0.7289811641632616,0.6047567467720939,0.297384630297169,0.41772305874393506,0.5547785969217985
pride_and_prejudice_TReput_P20,mean_diff_adj_sentence_length,44.0,15.959265222895194,19.68765642262804,1.4242799739676553,11.818327426024233
pride_and_prejudice_TReput_P20,mean_word_length,4.559681697612732,4.2774640601418845,0.7095951468052474,0.3977164144110249,4.521388172406136
pride_and_prejudice_TReput_P20,TTR,0.5888594164456233,0.7838195414761245,0.14890887503136274,-1.309257926966672,0.8345096141788317
pride_and_prejudice_TReput_P20,hapax_count,177.0,49.5089058524173,43.78140909939239,2.9119915683424646,41.79898218829516
pride_and_prejudice_TReput_P20,Flesch-Kincaid grade,0.0,0.0,0.0,0.0,0.0
pride_and_prejudice_TReput_P20,punctuation_density,122.0159151193634,202.6265073885708,146.14607945537713,-0.5515754686653792,218.30623752666824
pride_and_prejudice_TReput_P20,semicolon_density,10.610079575596817,10.27564250685625,15.813105431817279,0.021149360584648436,7.160428684458049
pride_and_prejudice_TReput_P20,em_dash_density,5.305039787798409,4.654541206820759,14.877326428629429,0.0437241586449197,7.017866926956257
pride_and_prejudice_TReput_P20,exclamation_density,0.0,10.293249764953643,67.04218410393533,-0.15353392647524794,11.367963026895703
pride_and_prejudice_TReput_P20,repeated_word_ratio,0.37362637362637363,0.25039460776340444,0.1818650824827212,0.6775999228696212,0.1881902512603017
pride_and_prejudice_TReput_P20,repeated_bigram_ratio,0.007352941176470588,0.0302874958437087,0.050997281799238244,-0.44972111959858796,0.016580947632030392
pride_and_prejudice_TReput_P20,repeated_trigram_ratio,0.0,0.006843457177260549,0.027302715910770256,-0.2506511513223112,0.0032441043651952
pride_and_prejudice_TClass_P22,word_count,12.0,95.30025445292621,103.22862690746398,-0.8069491666066437,70.27480916030534
pride_and_prejudice_TClass_P22,mean_sentence_length,6.5,18.898937922411204,15.841162525973877,-0.7827037884423793,15.329771092522199
pride_and_prejudice_TClass_P22,sentence_length_std,5.5,10.781123074800485,10.92049431183734,-0.48359743835734414,7.894196586192166
pride_and_prejudice_TClass_P22,sentence_length_cv,0.8461538461538461,0.6047567467720939,0.297384630297169,0.8117336095699706,0.5547785969217985
pride_and_prejudice_TClass_P22,mean_diff_adj_sentence_length,11.0,15.959265222895194,19.68765642262804,-0.25189718453209364,11.818327426024233
pride_and_prejudice_TClass_P22,mean_word_length,3.75,4.2774640601418845,0.7095951468052474,-0.7433309860089139,4.521388172406136
pride_and_prejudice_TClass_P22,TTR,0.9166666666666666,0.7838195414761245,0.14890887503136274,0.8921370547092121,0.8345096141788317
pride_and_prejudice_TClass_P22,hapax_count,10.0,49.5089058524173,43.78140909939239,-0.9024128429197957,41.79898218829516
pride_and_prejudice_TClass_P22,Flesch-Kincaid grade,0.0,0.0,0.0,0.0,0.0
pride_and_prejudice_TClass_P22,punctuation_density,83.33333333333333,202.6265073885708,146.14607945537713,-0.8162598305735688,218.30623752666824
pride_and_prejudice_TClass_P22,semicolon_density,0.0,10.27564250685625,15.813105431817279,-0.6498181240340564,7.160428684458049
pride_and_prejudice_TClass_P22,em_dash_density,0.0,4.654541206820759,14.877326428629429,-0.312861402157831,7.017866926956257
pride_and_prejudice_TClass_P22,exclamation_density,0.0,10.293249764953643,67.04218410393533,-0.15353392647524794,11.367963026895703
pride_and_prejudice_TClass_P22,repeated_word_ratio,0.0,0.25039460776340444,0.1818650824827212,-1.3768151881887176,0.1881902512603017
pride_and_prejudice_TClass_P22,repeated_bigram_ratio,0.0,0.0302874958437087,0.050997281799238244,-0.5939041214577266,0.016580947632030392
pride_and_prejudice_TClass_P22,repeated_trigram_ratio,0.0,0.006843457177260549,0.027302715910770256,-0.2506511513223112,0.0032441043651952
